"Distances","pets in SHC video","Site description","SHC description","Cats","Dogs","Rodents","Reptiles","Other species","Apollo","Beal","Bower","Bowie","Ferency","Hedrick","Howland","Miles Davis","New Community","Orion","Phoenix","Raft Hill","Toad Lane","Vesta","Name","Owner","Residence","Bio","Comments","Home","Houses","Species","Submit","News","Contact Us","Instructions","Example"
"Bower",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Bowie",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Ferency",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Hedrick",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Howland",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Miles Davis",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"New Community",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Orion",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Phoenix",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Raft Hill",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Toad Lane",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Vesta",0.8750,0.8333,0.8750,0.8333,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.7917,0.6250,0.8333,1.0000,0.7917,0.7917,0.7917,1.0000
"Name",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2500,0.2500,0.5000,1.0000,1.0000,0.5000,0.7500,1.0000,1.0000,1.0000,0.5000
"Owner",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.2500,0.2500,0.5000,1.0000,1.0000,0.5000,0.7500,1.0000,1.0000,1.0000,0.5000
"Residence",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.2500,0.2500,0.0000,0.2500,0.5000,1.0000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0.7500
"Bio",1.0000,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2500,0.2500,0.2500,0.0000,0.5000,1.0000,1.0000,0.7500,0.7500,0.7500,1.0000,1.0000,0.7500
"Comments",0.7500,1.0000,1.0000,0.7500,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.7500,1.0000,1.0000,0.5000,1.0000,0.7500,0.7500,0.7500
"Home",0.8333,0.5417,0.8333,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,1.0000,1.0000,1.0000,1.0000,0.7500,0.0000,0.5833,0.5417,0.5000,0.5000,0.2500,0.5000,1.0000
"Houses",0.7500,0.7917,0.5000,0.8750,0.8750,0.8750,0.8750,0.8750,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,0.6250,1.0000,1.0000,0.7500,1.0000,1.0000,0.5833,0.0000,0.6250,0.5000,0.3333,0.3333,0.5833,0.7500
"Species",0.8750,0.8333,0.8750,0.7500,0.7500,0.7500,0.7500,0.7500,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.5000,0.5000,0.7500,0.7500,1.0000,0.5417,0.6250,0.0000,0.7500,0.5417,0.5417,0.7917,0.7500
"Submit",1.0000,1.0000,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,0.7500,0.7500,0.7500,0.5000,0.5000,0.5000,0.7500,0.0000,0.5000,0.2500,0.5000,0.5000
"News",0.8333,0.5417,0.3333,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,1.0000,1.0000,1.0000,0.7500,1.0000,0.5000,0.3333,0.5417,0.5000,0.0000,0.2500,0.5000,0.7500
"Contact Us",0.8333,0.7917,0.5833,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,1.0000,1.0000,1.0000,1.0000,0.7500,0.2500,0.3333,0.5417,0.2500,0.2500,0.0000,0.2500,0.7500
"Instructions",0.5833,0.5417,0.3333,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,1.0000,1.0000,1.0000,1.0000,0.7500,0.5000,0.5833,0.7917,0.5000,0.5000,0.2500,0.0000,0.5000
"Example",0.7500,0.7500,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.7500,0.7500,0.7500,1.0000,0.7500,0.7500,0.5000,0.7500,0.7500,0.5000,0.0000
